Maximum of 50 posts available to include in this list

Post URL,Post Publish Date,Engagements,,Post URL,Post Publish Date,Impressions
,,,,https://www.linkedin.com/posts/cathal-quinlan_personalbranding-betteratwork-leadership-share-7397017071752228865-OK9P,11/19/2025,12
,,,,https://www.linkedin.com/posts/cathal-quinlan_communication-is-the-currency-of-work-share-7262416345437278208-A-Kr,11/13/2024,11
,,,,https://www.linkedin.com/posts/cathal-quinlan_today-marks-my-final-day-at-westpac-after-share-6745635191194308609-_9Fe,12/18/2020,11
,,,,https://www.linkedin.com/posts/cathal-quinlan_no-episode-this-week-i-spent-two-days-this-share-7445533936430153728-7Tes,4/2/2026,11
,,,,https://www.linkedin.com/posts/cathal-quinlan_after-months-of-preparation-im-thrilled-share-7376190825330008064-XZWU,9/23/2025,11
,,,,https://www.linkedin.com/posts/cathal-quinlan_the-better-bits-is-back-were-going-behind-the-scenes-ugcPost-7396834395497590784-dNRV,11/20/2025,11
,,,,https://www.linkedin.com/posts/cathal-quinlan_wfh-nova-betteratwork-ugcPost-7064694661893820416-YkfZ,5/17/2023,10
,,,,https://www.linkedin.com/posts/cathal-quinlan_you-know-that-thing-at-work-you-keep-overthinking-ugcPost-7439585919122382848-5amq,3/17/2026,10
,,,,https://www.linkedin.com/posts/cathal-quinlan_learn-like-a-lobster-i-am-up-for-giving-ugcPost-7425146665071968256-SMvK,2/5/2026,10
,,,,https://www.linkedin.com/posts/cathal-quinlan_communication-work-life-ugcPost-7265221242654244865-EUVf,11/21/2024,9
,,,,https://www.linkedin.com/posts/cathal-quinlan_podcastepisode-selfawareness-confidence-ugcPost-7138286411757056000-eqjl,12/6/2023,9
,,,,https://www.linkedin.com/posts/cathal-quinlan_laura-gassner-otting-calls-them-the-four-ugcPost-7421928828186292224-x7JX,1/27/2026,9
